OBJECTID,REFNUM,SignificantName,OtherName,Location,StreetIndex,County,Architect,Builder,BeginYear,EndYear,SurveyType,SurveyDate,PIN,GlobalID,x,y,Reference Number,Url_img,Item ID,URL
22845,126147,Krause Music Store,,4611 N. Lincoln Av,"Lincoln, N",Cook,"Presto, William C.; Sullivan, Louis",,1922,1922,Chicago Historic Resources Survey,1983-1994,1418117003,27644f13-da3d-405c-aefd-ec2607e3656d,-9761185.793,5155781.451200002,126147,https://idnr.maps.arcgis.com/sharing/rest/content/items/6642c4097fd445118e602c94f485ed6f/data,d43f22ba76194393ae0e3ec5b9e4314a,https://idnr.maps.arcgis.com/sharing/rest/content/items/d43f22ba76194393ae0e3ec5b9e4314a/data
22846,126148,Davis Theater,Pershing Theatre,4616 N. Lincoln Av,"Lincoln, N",Cook,"Ahlschlager, Walter W.",,1917,1917,Chicago Historic Resources Survey,1983-1994,1418116010,192c20f6-1aae-4d49-bab1-6ea3f349c9bf,-9761229.234,5155800.618899999,126148,https://idnr.maps.arcgis.com/sharing/rest/content/items/06e2e78930504f7d9bc7dee0afe3b6c5/data,b242148506734d9a95a2d6d3509350c0,https://idnr.maps.arcgis.com/sharing/rest/content/items/b242148506734d9a95a2d6d3509350c0/data
22981,125856,,,2557 W. Farwell Av,"Farwell, W",Cook,Dewey & Pavlovich, ,1928,1928,Chicago Historic Resources Survey,1983-1994,1036229001,ef6fbd09-7557-4522-a4f8-3941b898e466,-9762064.059,5161852.0194000015,125856,,,
22992,125872,"Indian Boundary Park, Fieldhouse",Fieldhouse,2500 W. Lunt Av,"Lunt, W",Cook,"Hatzfeld, Clarence", ,1929,1929,Chicago Historic Resources Survey,1983-1994,1036212005,3ed4e892-aacb-4b74-adcb-5c511a2f4016,-9761928.515,5162256.848100001,125872,https://idnr.maps.arcgis.com/sharing/rest/content/items/207ebd96dfcd4cec82f4fe183b0e442d/data,,
22993,125873,,,2453 W. Morse Av,"Morse, W",Cook,"Allison, Lyman J.", ,1929,1929,Chicago Historic Resources Survey,1983-1994,1036226003,24155f50-0392-463e-9bec-fb5df81a0e89,-9761792.731,5161988.638499995,125873,,,
22994,125874,,,2454 W. Morse Av,"Morse, W",Cook,"Markel, Charles H.", ,1925,1925,Chicago Historic Resources Survey,1983-1994,1036222016,1d2a46ec-5ccb-4a62-a2fd-bb44e65a0fee,-9761797.666,5161988.737099995,125874,,,
23022,125928,,,835 W. Castlewood Terrace,"Castlewood, W",Cook,"Mahaffey, David", ,1909,1909,Chicago Historic Resources Survey,1983-1994,1408418017,17804ffc-121a-4705-9480-26eb3fb30df5,-9757298.492,5156654.154399999,125928,,,
23023,125929,,,850 W. Castlewood Terrace,"Castlewood, W",Cook,Davidson & Weiss, ,1917,1917,Chicago Historic Resources Survey,1983-1994,1408417036,f8e1808f-1465-4c3b-95c2-de684a3ed890,-9757387.347,5156651.842499998,125929,,,
23024,125930,,,930 W. Castlewood Terrace,"Castlewood, W",Cook,"Hetherington, John Todd", ,1911,1911,Chicago Historic Resources Survey,1983-1994,1408417030,a1a63ae4-9ee3-40c2-a121-b7fb88c56691,-9757669.97,5156643.988499995,125930,https://idnr.maps.arcgis.com/sharing/rest/content/items/1a78df73cc254548aa0e6a71227bc97a/data,,
23122,126238,"Lathrop, Julia C., Homes",,2826 N. Clybourn Av,"Clybourn, N",Cook,"De Golyer, Robert S.", ,1938,1938,Chicago Historic Resources Survey,1983-1994,1430123001,16909149-bcf4-4d44-a7a7-453b5b158dc4,-9760371.035,5150911.574,126238,,,
