Program/certification/concentration,institution / location,department housed in,faculty who teach,what courses are (skill/social concerns),Link,"public facing - digital exhibition (link) to projects, + description of projects"
Masters in Historic Preservation,SAIC,Department of Historic Preservation,Richard Friedman; Nicholas Lowe,Preservation Law; Physical Documentation; Restoration Design Studio,https://www.saic.edu/historic-preservation,https://www.saic.edu/historic-preservation/people/projects
Master of Historic Preservation,University of Florida,"College of Design, Construction and Planning",Cleary Larkin; Linda Stevenson,"DCP 6710 History and Theory of Historic Preservation

https://dcp.ufl.edu/wp-content/uploads/2019/07/DCP4000-Syllabus_Fall-2019_preliminary.pdf

DCP 6714 – Built Heritage Documentation",https://dcp.ufl.edu/historic-preservation/,https://dcp.ufl.edu/historic-preservation/projects/
Master of Science in Historic Preservation; Ph.D. in Historic Preservation,University of Texas,School of Architecture,Tara Dudley; Juliana Felkner,American Architecture; National Register Documentation; Materials Conservation: Laboratory Methods; Preservation Law,https://soa.utexas.edu/historic-preservation/courses-overview,https://soa.utexas.edu/historic-preservation/resources
Master of Science in Historic Preservation,Clemson University,School of Architecture,Amalia Leifeste,History and Theory of Historic Preservation; American Architecture; Preservation Studio; Conservation Laboratory Science; Adaptive Use,https://www.clemson.edu/caac/academics/architecture/programs/historic-preservation/mshp.html,https://open.clemson.edu/theses_historic_pres/
"Historic Preservation, MSHP",University of Pennsylvania,Weitzman School of Design,Frank G. Matero; Randall F. Mason,American Architecture; Public History of the Built Environment: Theory and Practice; Preservation Through Public Policy; Conservation Science,https://catalog.upenn.edu/graduate/programs/historic-preservation-mshp/,https://www.design.upenn.edu/historic-preservation/thesis
"Initiative in the History of the Built Environment, Doctoral Fellows",University of Pennsylvania,Weitzman School of Design,Francesca Russello Ammon,,https://www.design.upenn.edu/city-regional-planning/hbe,
MS in Historic Preservation; Undergraduate minor,University of Oregon,School of Architecture,Chris Bell; Larissa Rudnicki,"Pacific Northwest Preservation Field School; Preservation Economics; Legal Issues in Historic Preservation; American Architecture
from a Preservation Perspective",https://archenvironment.uoregon.edu/hp,https://archenvironment.uoregon.edu/hp/research
"History, Theory, and Preservation (HTP), part of Architecture major; Graduate Minor in Heritage Studies",UIUC,School of Architecture,Kathryn E. Holliday,Special Problems in Urbanism,https://arch.illinois.edu/programs-applying/program-areas/htp/,https://arch.illinois.edu/programs-applying/chicago-studio/
Master of Historic Preservation and Master of Real Estate Development (dual degree),University of Maryland,Graduate school,Rhonda Sincavage; Frederick Stachura,Preservation Policy and Planning; Historic Preservation Professional Practice; Historic Preservation Studio Workshop; Historic Preservation Law,https://academiccatalog.umd.edu/graduate/programs/historic-preservation-real-estate-development-hpdv/historic-preservation-real-estate-development-dual-degree-mhp-mred/,
"Historic Preservation, MS",Pratt College,Graduate Center for Planning and the Environment,Vicki Weiner; Harriet Harriss,History and Theory of Preservation; Preservation Law and Policy; PDF,https://www.pratt.edu/architecture/graduate-center-for-planning-and-the-environment/historic-preservation-ms/,https://www.pratt.edu/architecture/graduate-center-for-planning-and-the-environment/historic-preservation-ms/student-achievement/
"Historic Preservation Certificate; Online MDS in Historic Preservation
",Boston Architectural College,,,Historic Preservation Philosophy and Practice; Adaptive Reuse and Development Process,https://the-bac.edu/continuing-education/certificates/historic-preservation-certificate,
Diploma in Heritage Conservation,Willowbank School of Restoration Arts,,Ashleigh Bell; Alex Blades,History of Architecture; Window Conservation; Heritage Project Management,https://www.willowbank.ca/,
Master of Science in Historic Preservation,Notre Dame,School of Architecture,Steven Semes; Paul Kapp,,https://architecture.nd.edu/academics/graduate-programs/m-s-historic-preservation/,
